NOME DO JOB	DATA DE EXECUÇÃO	HORA DE EXECUÇÃO	TEMPO DE CPU	TEMPO DE SALA	RETURN CODE	USUARIO	JOBID
OCGJD400	22/07/2025	10.29.27	0,00	0,00	0012	USRIWPRD	81700
OCGJD400	22/07/2025	10.38.32	0,00	1,20	0012	USRIWPRD	81898
OCGJD400	23/07/2025	04.41.32	9,61	12,91	0000	USRIWPRD	96465
OCGJD400	24/07/2025	03.54.48	9,59	12,93	0000	USRIWPRD	15242
OCGJD400	24/07/2025	21.19.41	8,00	10,27	0000	USRIWPRD	31072
OCGJD400	25/07/2025	03.52.20	9,68	14,55	0000	USRIWPRD	34377
OCGJD400	26/07/2025	03.52.48	10,50	19,28	0000	USRIWPRD	53316
OCGJD400	26/07/2025	20.32.59	6,62	8,44	0000	USRIWPRD	58605
OCGJD400	27/07/2025	11.09.59	6,69	8,43	0000	USRIWPRD	61861
OCGJD400	29/07/2025	04.00.41	9,88	21,07	0000	USRIWPRD	84209
OCGJD400	30/07/2025	03.51.02	10,25	18,66	0000	USRIWPRD	3101
OCGJD400	31/07/2025	03.55.07	11,00	20,35	0000	USRIWPRD	22087
OCGJD400	01/08/2025	08.39.17	20,04	23,21	0000	USRIWPRD	43005
OCGJD400	22/07/2025	06.51.57	USRIWPRD	78350
